61,10313-1-0
62,10313-2-0
64,11314-1-0
66,10315-1-0
67,10315-2-0
68,11320-1-0
1095,26022-1-0
33183,26035-1-1
31143,15009-1-1
31144,15009-2-1
31153,25004-1-1
31154,25004-2-1
31836,12260-1-0
31837,12260-2-0
31876,25037-1-1
31877,25037-2-0
31878,25037-1-0
33143,47008-1-0
33144,47008-1-1
33145,47008-2-0
33146,47008-2-1
33179,23001-3-0
33180,16033-2-1
33181,22029-1-0
33182,22029-2-0
33184,26035-2-1
33185,42016-1-0
33186,42016-2-0
33239,11384-1-0
33240,11384-2-0
34088,47004-1-1
34089,47004-2-1
35160,17473-2-0
36407,44083-1-0
36408,44083-2-0
36913,25043-2-0
36914,25043-1-0
37739,16169-1-0
37740,16169-2-0
37766,34084-1-2
37767,34084-2-2
39213,12280-1-9
39214,12280-2-9
39216,11472-1-9
39217,11472-2-9
39631,12254-1-0
39632,12254-2-0
1104,20025-1-0
1,67001-1-0
2,67001-2-0
3,56002-1-0
4,56002-1-1
5,56002-2-0
6,56002-2-1
7,49003-1-0
8,49003-2-0
9,47004-1-0
10,47004-2-0
11,41005-1-0
12,41005-2-0
21,27017-1-0
22,27017-1-1
23,27017-2-0
24,27017-2-1
25,23035-1-0
26,23035-2-0
28,19036-1-0
30,19036-2-0
31,20037-1-0
32,20037-2-0
35,22048-1-0
37,22048-2-0
39,10178-1-0
40,10178-2-0
43,10212-1-0
44,10212-2-0
46,13220-1-0
47,13220-2-0
50,12280-1-0
51,12280-2-0
56,12284-1-0
57,12284-2-0
58,11312-1-0
60,11312-2-0
65,11314-2-0
69,11320-2-0
70,12321-1-0
72,12321-2-0
73,11322-1-0
77,11323-1-0
79,11323-2-0
80,11324-1-0
81,11326-1-0
82,11330-1-0
83,11330-2-0
85,13340-1-0
87,13340-2-0
95,13333-2-0
98,21049-2-0
1070,59002-1-0
1072,59002-2-0
1079,35010-2-0
1081,31016-1-0
1083,31016-2-0
1084,31016-2-1
1086,31016-3-0
1087,29017-1-0
1091,29017-2-0
1097,26022-2-0
1099,24023-1-0
1100,24023-2-0
1105,20025-2-0
1106,20025-3-0
1107,21027-1-0
1110,21027-2-0
1118,23044-1-0
1119,23044-2-0
1128,22062-1-0
1130,22062-2-0
1131,22062-2-1
1136,37083-1-0
1137,37083-1-1
1142,37083-2-0
1143,37083-2-1
1144,34084-1-0
1145,34084-2-0
1155,38087-1-0
1156,38087-2-0
1157,26088-1-0
1159,26088-2-0
1160,28089-1-1
1164,28089-2-0
1168,32091-2-0
1169,32091-3-0
1172,30097-1-0
1172,30097-1-0
1173,30097-2-0
1173,30097-2-0
1174,30097-3-0
1175,26098-1-0
1179,26099-1-0
1181,26099-2-0
1182,26099-3-0
1207,10287-1-0
2011,25004-1-0
2012,25004-2-0
2013,23005-1-0
2017,23005-2-0
2033,15009-1-0
2034,15009-2-0
2035,23011-1-0
2040,23011-2-0
2046,21012-1-0
2047,21012-2-0
2052,16033-2-0
2055,16034-2-0
2060,19074-1-0
2061,19074-2-0
2066,17076-1-0
2068,17076-2-0
2069,16079-2-0
2082,18077-2-0
2103,20021-1-0
2104,20021-2-0
2105,18022-1-0
2106,18022-2-0
2107,15023-1-0
2108,15023-2-0
2482,17049-1-0
2483,17049-1-1
2484,17049-2-0
2774,12250-1-0
2775,12250-2-0
2777,10282-1-0
2778,10282-2-0
5888,10120-1-0
5889,10120-2-0
5895,10122-1-0
5898,10122-2-0
5900,10124-1-0
5903,10124-2-0
5962,11174-1-0
5968,11174-2-0
5977,10176-1-0
5978,10176-2-0
5979,10177-1-0
5982,10177-2-0
6111,11142-1-0
6113,11142-2-0
6392,10465-1-0
6529,11123-1-0
6530,11123-2-0
6588,10350-1-0
6601,10350-2-0
6610,10351-1-1
6622,10355-1-0
6623,10355-2-0
7639,15010-1-0
7641,15010-2-0
7697,24040-1-0
9493,44005-1-0
9494,44005-1-1
9495,44005-1-2
9496,44005-2-0
9497,44005-2-1
9498,44005-2-2
9603,17038-1-0
9604,17038-2-0
9723,10566-1-0
9724,10566-2-0
10340,13300-1-0
10341,13300-2-0
10497,10599-1-0
10498,10599-2-0
10760,15301-2-0
10786,49004-1-0
10788,49004-2-0
10950,45006-1-0
10967,45006-2-0
11109,15336-1-0
11110,15336-2-0
11125,10267-2-0
11398,45082-1-0
11401,45082-2-0
11403,38084-1-0
11407,42087-2-0
11410,31089-1-א
11411,31089-1-ב
11412,31089-2-0
11415,32090-2-0
11416,35091-1-0
11417,35091-2-0
11419,32092-1-0
11420,32092-2-0
11421,31094-2-0
11509,11319-1-0
11510,11319-2-0
11557,38084-2-0
11558,24025-1-0
11559,24025-2-0
11560,28028-1-0
11561,28028-2-0
11564,11215-1-0
11565,11215-2-0
11567,15125-2-0
11568,11216-1-0
11569,11216-2-0
11570,11178-1-0
11571,11178-2-0
11572,14127-1-0
11573,14127-2-0
11575,13121-1-0
11576,13121-2-0
11577,14126-2-0
11679,46081-2-0
13590,12202-1-0
13668,10350-2-6
14553,11472-1-0
14554,11472-2-0
15722,11209-1-0
15723,11209-2-0
15725,13211-1-א
15727,13211-2-א
15728,11216-2-1
15775,48007-1-0
15776,48007-2-0
15779,29027-1-0
15780,29027-2-0
15781,35028-1-0
15787,24040-2-0
15788,14141-1-0
15789,14141-2-0
15790,13150-1-0
15791,13150-2-0
15792,13140-1-0
15793,13140-2-0
15794,31043-1-0
15795,31043-2-0
15796,31045-1-0
15797,31045-2-0
15798,29050-1-0
15799,29050-2-0
15800,13152-1-0
15801,13152-2-0
15802,13151-1-0
15803,13151-2-0
15804,15181-1-0
15805,15181-2-0
15806,13182-1-0
15807,13182-2-0
15808,29051-1-0
15809,29051-2-0
15810,15177-1-0
15811,15177-2-0
15814,18349-1-0
15815,18349-2-0
15816,11213-1-0
15817,11213-2-0
15818,12325-1-0
15819,12325-2-0
15820,16221-1-0
15821,16221-2-0
15822,12317-1-0
15823,12317-2-0
15824,14455-1-0
15825,14455-2-0
16068,10454-1-0
16070,10454-2-0
16072,12356-1-0
16073,12356-2-0
16203,10351-1-0
16204,10351-2-0
16335,10548-1-0
16336,10548-2-0
16392,17142-2-0
16393,46009-1-0
16394,46009-2-0
16786,10252-1-0
16787,10252-2-0
16790,13471-1-0
16791,13471-2-0
16794,25038-1-0
16795,25038-2-0
16796,11473-1-0
16797,11473-2-0
16800,32047-1-0
16801,32047-2-0
16840,15359-1-0
16841,15359-2-0
16923,11269-1-1
16924,11269-2-1
17180,44005-1-3
17181,44005-2-3
17563,17464-1-0
17565,12474-1-0
17566,12474-2-0
17650,16302-1-0
17651,16302-2-0
17898,11183-1-0
17899,11183-2-0
17903,34063-1-0
17903,34063-1-0
17904,34063-2-0
17904,34063-2-0
17905,26064-1-0
17905,26064-1-0
17907,28089-1-0
17909,28089-2-1
17911,12253-1-0
17912,12253-2-0
17914,10287-2-0
17918,35010-1-0
17922,50014-1-0
17923,50014-2-0
17924,17303-2-0
17930,11470-1-0
17931,11470-2-0
17932,31021-1-0
17933,31021-2-0
17934,57013-1-0
17937,50012-1-0
17938,50012-2-0
17939,57013-2-0
17960,15258-1-0
17961,15258-2-0
17985,41073-2-0
17986,31078-2-0
17993,19007-1-0
17994,19007-2-0
17995,89003-2-0
18000,37020-1-0
18001,37020-2-0
18002,34026-1-0
18003,34026-2-0
18008,33002-1-0
18009,33002-1-1
18010,33002-2-0
18011,33002-2-1
18012,16033-1-0
18013,16033-1-1
18014,16034-1-0
18031,89003-1-0
18046,17038-1-1
18047,17038-2-1
18048,38087-1-1
18049,38087-2-1
18253,10283-2-0
18319,10283-1-0
18467,26035-2-0
18726,26035-1-0
18986,32056-1-1
19008,35010-2-1
19285,66011-1-0
19286,66011-2-0
19457,12356-1-2
19577,10350-1-6
19779,11264-1-0
19780,11264-2-0
19851,12265-1-0
19852,12265-2-0
20564,18129-1-0
20565,18129-2-0
20752,18477-1-0
20753,18477-2-0
20870,13478-1-0
20871,13478-2-0
21181,29051-1-1
21182,29051-2-1
21702,22304-2-0
22021,13168-1-0
22022,13168-2-0
22023,13167-1-0
22213,24025-1-א
22233,51019-1-0
22234,51019-2-0
23206,15114-1-0
23207,15114-2-0
23378,26064-2-1
23378,26064-2-1
23418,36044-1-0
23419,36044-2-0
23551,43030-1-0
23552,43030-2-0
23676,17303-1-0
23821,47020-1-0
23822,47020-2-0
23995,97003-1-0
23996,97003-2-0
25367,17303-1-1
25368,17303-2-1
25561,22031-1-0
25563,22031-2-0
25572,11470-1-1
26405,45006-1-1
26406,45006-2-1
26422,15281-1-0
26423,15281-2-0
26459,11143-1-0
26460,20479-1-0
26487,51030-1-0
26488,51030-2-0
26876,17164-1-0
26877,15166-1-0
26912,13167-2-0
26913,17164-2-0
26914,15166-2-0
27376,11409-1-0
27377,11409-2-0
27380,13362-1-0
27381,13362-2-0
27382,11364-1-0
27383,11364-2-0
27858,12374-1-0
27859,12374-2-0
27860,12377-1-0
27861,12377-2-0
27924,14250-1-0
27925,14250-2-0
27926,12252-1-0
27927,12252-2-0
27928,11253-1-0
27929,11253-2-0
27930,11254-1-0
27931,11254-2-0
27988,56055-1-0
27989,56055-2-0
27990,37071-1-0
27991,37071-2-0
27992,43072-1-0
27993,43072-2-0
27994,54073-1-0
27995,54073-2-0
27996,44074-1-0
27997,44074-2-0
27998,14364-1-0
27999,14364-2-0
28001,24023-1-1
28002,24023-2-1
28015,45024-3-0
28016,17165-1-0
28017,17165-2-0
28018,43047-1-0
28020,11143-2-0
28021,15149-1-0
28022,15149-2-0
28023,11140-1-0
28024,11140-2-0
28025,13141-1-0
28026,13141-2-0
28027,11145-1-0
28028,11145-2-0
28029,12146-1-0
28030,12146-2-0
28033,15147-1-0
28034,15147-2-0
28035,15148-1-0
28036,15148-2-0
28037,13270-1-0
28039,11461-1-0
28041,11461-2-0
28045,11462-1-0
28046,11462-2-0
28047,16464-1-0
28048,16464-2-0
28050,10465-2-0
28051,10468-1-0
28052,10468-2-0
28053,12466-1-0
28055,11467-1-0
28056,11467-2-0
28057,13469-1-0
28058,13469-2-0
28061,20479-2-0
28062,14475-1-0
28063,14475-2-0
28064,10949-1-0
28065,10949-2-0
28066,11182-1-0
28068,11182-2-0
28069,13183-1-0
28071,13183-2-0
28075,13946-2-0
28076,10941-1-0
28078,11943-1-0
28079,11943-2-0
28084,15381-1-0
28085,15381-2-0
28088,14365-1-0
28089,14365-2-0
28090,14382-1-0
28091,14382-2-0
28131,13361-1-0
28132,13361-2-0
28207,46009-1-4
28208,46009-2-4
28380,13472-1-0
28381,13472-2-0
28556,12345-1-0
28557,12345-2-0
28558,15149-1-2
28559,15149-2-2
28613,49022-1-0
28614,49022-2-0
28768,12372-1-0
28769,12372-2-0
28770,11410-1-0
28771,11410-2-0
28772,32043-1-0
28773,32043-2-0
28774,14360-1-0
28775,14360-2-0
28776,13411-1-0
28777,13411-2-0
28838,15380-1-0
28839,15380-2-0
28844,20383-2-0
28874,11376-1-0
28875,11376-2-0
28878,10440-1-0
28879,10440-2-0
28882,12363-1-0
28883,12363-2-0
28884,12366-1-0
28885,12366-2-0
28894,45006-2-2
28895,20383-1-0
28909,15371-1-0
28910,15371-2-0
28911,12256-1-0
28912,12256-2-0
28913,29059-1-0
28914,29059-2-0
28916,31057-2-0
28917,12257-1-0
28918,12257-2-0
28920,32050-1-0
28921,32050-2-0
28947,30052-1-0
28948,30052-2-0
29147,26064-1-9
29147,26064-1-9
29174,26064-2-9
29483,15255-1-0
29484,15255-2-0
29606,15255-1-1
29830,31021-1-1
29832,31021-2-1
30716,21336-2-0
30717,22304-1-0
30758,59002-1-2
30759,59002-2-2
30780,15256-1-0
30781,15256-2-0
33499,10949-1-4
39215,10599-1-9
39215,10599-1-9
28019,43047-2-0
28038,13270-2-0
28070,13183-1-3
28074,13946-1-0
28077,10941-2-0
28907,11260-1-0
28908,11260-2-0
28919,11262-1-0
29174,26064-2-9
71,12321-1-1
75,11322-2-0
94,13333-1-0
97,21049-1-0
1177,26098-2-0
6616,10351-2-1
10498,10599-2-0
11409,28088-2-0
11414,32090-1-0
10497,10599-1-0
11566,15125-1-0
11124,10267-1-0
11396,46081-1-0
11406,42087-1-0
11408,28088-1-0
13669,10355-1-1
13591,12202-2-0
15782,35028-2-0
16391,17142-1-0
17226,12356-1-1
17564,17464-2-0
17845,10350-1-4
18004,32080-1-0
18005,32080-2-0
18987,32056-2-1
19458,12356-2-2
20563,24170-1-0
21696,46009-2-2
23763,10468-2-3
25587,10355-2-1
26034,21336-1-0
28054,12466-2-0
28201,13946-1-2
28915,31057-1-0
25573,11470-2-1
